"","x"
"tree",5290
"sequenc",5231
"phylogenet",4648
"indic",3286
"use",2996
"gene",2388
"number",2329
"branch",2165
"bootstrap",2118
"repres",1971
"valu",1931
"analysi",1746
"speci",1733
"base",1600
"phylogeni",1509
"node",1444
"protein",1441
"support",1191
"strain",1178
"clade",1109
"align",1049
"maximum",990
"acid",974
"red",970
"method",964
"amino",941
"group",929
"show",913
"relationship",897
"genom",858
"differ",855
"posit",854
"cluster",847
"likelihood",841
"bayesian",828
"bar",799
"construct",785
"blue",783
"sampl",776
"figur",770
"isol",762
"scale",751
"replic",742
"substitut",742
"probabl",738
"color",736
"includ",735
"infer",732
"correspond",718
"region",704
"green",695
"site",687
"posterior",683
"respect",679
"nucleotid",669
"domain",668
"studi",644
"black",641
"name",632
"neighborjoin",611
"two",611
"model",607
"refer",605
"length",598
"per",577
"virus",567
"data",562
"famili",545
"distanc",544
"circl",535
"lineag",535
"outgroup",527
"relat",527
"line",515
"access",514
"tabl",501
"genbank",495
"taxa",494
"evolutionari",483
"type",479
"identifi",467
"obtain",464
"present",462
"follow",446
"three",439
"analys",432
"root",430
"box",423
"label",421
"generat",417
"given",415
"right",415
"see",415
"within",415
"mega",406
"conserv",387
"percentag",385
"among",381
"one",378
"code",376
"consensus",373
"distribut",370
"topolog",369
"haplotyp",368
"human",367
"mark",367
"major",366
"phylogram",353
"origin",348
"result",338
"bold",333
"parsimoni",329
"similar",327
"highlight",321
"reconstruct",321
"structur",321
"estim",315
"accord",313
"rrna",312
"left",304
"complet",302
"contain",296
"subtyp",292
"diverg",288
"clone",276
"time",276
"panel",273
"four",266
"ident",266
"also",265
"homolog",263
"residu",261
"denot",257
"arrow",256
"select",255
"found",254
"map",254
"test",252
"asterisk",250
"for",249
"grey",249
"unroot",248
"describ",245
"individu",244
"dot",241
"dataset",239
"all",234
"detail",233
"set",233
"databas",231
"member",231
"size",231
"colour",230
"comparison",229
"concaten",228
"hiv",227
"predict",226
"proport",224
"express",221
"mutat",220
"yellow",220
"total",218
"dna",217
"charact",214
"associ",212
"order",212
"perform",211
"shade",210
"bacteri",209
"depict",209
"evolut",209
"multipl",209
"plant",209
"calcul",208
"compar",205
"arabidopsi",204
"deriv",204
"genet",203
"fig",201
"display",200
"popul",200
"gray",199
"level",198
"network",198
"putat",198
"softwar",196
"genotyp",195
"locat",195
"singl",195
"accession",194
"determin",193
"molecular",193
"avail",191
"drawn",191
"ortholog",189
"text",187
"note",185
"orang",185
"previous",185
"unit",183
"list",181
"organ",181
"partial",181
"sapien",180
"variant",180
"motif",179
"maximumlikelihood",178
"chang",177
"geograph",177
"signific",177
"triangl",177
"taxon",175
"event",174
"first",174
"host",173
"program",173
"letter",172
"high",171
"mitochondri",171
"white",171
"bottom",170
"class",170
"point",170
"specif",170
"genus",166
"pattern",166
"analyz",165
"duplic",165
"ncbi",165
"ancestr",164
"schemat",162
"belong",161
"squar",161
"this",161
"along",160
"detect",160
"known",159
"combin",158
"rate",158
"exon",156
"neighbourjoin",156
"symbol",156
"vertebr",155
"next",154
"greater",152
"drosophila",151
"subfamili",151
"recombin",149
"common",148
"dark",148
"illustr",148
"light",147
"bracket",146
"close",146
"distinct",144
"separ",143
"mean",142
"mtdna",142
"onli",142
"cell",141
"report",141
"form",140
"join",140
"paramet",140
"rdna",140
"collaps",139
"divers",139
"design",138
"each",137
"rang",137
"plot",136
"full",135
"matrix",135
"abbrevi",134
"bacteria",134
"can",134
"chromosom",134
"main",133
"mous",133
"provid",133
"share",131
"five",130
"inform",130
"insect",130
"presenc",130
"top",130
"well",130
"ancestor",127
"consist",127
"homo",127
"togeth",127
"melanogast",126
"subject",126
"otus",125
"phyml",125
"state",125
"statist",125
"allel",123
"collect",123
"defin",122
"morpholog",122
"except",121
"function",121
"less",121
"pair",121
"control",118
"intern",118
"patient",117
"dash",116
"histori",116
"purpl",116
"case",114
"coi",114
"loss",114
"gap",113
"insert",112
"score",112
"taxonom",112
"termin",111
"version",111
"segment",110
"across",109
"clustalw",109
"comput",109
"fill",109
"genera",109
"higher",109
"parenthes",109
"neighbor",108
"fragment",107
"year",107
"delet",106
"dendrogram",106
"frequenc",106
"its",106
"recov",106
"algorithm",104
"like",104
"lower",104
"may",104
"new",104
"pink",104
"encod",103
"fungal",103
"rna",103
"sever",102
"six",101
"codon",100
"produc",100
"consid",99
"legend",99
"represent",99
"star",99
"complex",98
"iii",98
"thaliana",98
"core",97
"eukaryot",97
"influenza",96
"nuclear",96
"open",96
"part",95
"solid",95
"specimen",95
"underlin",95
"assign",94
"current",94
"loci",94
"mrbay",94
"approxim",93
"repeat",93
"signal",93
"fulllength",92
"oryza",92
"recent",92
"deduc",91
"marker",91
"near",91
"vertic",91
"clariti",89
"countri",89
"uniqu",89
"wherea",89
"clustal",88
"coli",88
"local",88
"materi",88
"musculus",88
"addit",87
"appear",87
"raxml",87
"abund",86
"involv",86
"elegan",85
"exclud",85
"miss",85
"ratio",85
"side",85
"pairwis",83
"partit",83
"step",83
"upper",83
"variabl",83
"background",82
"cladogram",82
"final",82
"fungi",82
"observ",82
"possibl",82
"exampl",81
"various",81
"whole",81
"conduct",80
"confid",80
"propos",80
"search",80
"alignment",79
"anim",79
"area",79
"classif",79
"diagram",79
"mus",79
"north",79
"profil",79
"measur",78
"resampl",78
"second",78
"seven",78
"annot",77
"composit",77
"strict",77
"without",76
"connect",75
"view",75
"brown",72
"independ",72
"strong",72
"absenc",71
"best",71
"credibl",71
"hypothes",71
"kimura",71
"monophylet",71
"percent",71
"placement",71
"retriev",71
"these",71
"visual",71
"expect",70
"relev",70
"remov",70
"there",70
"tip",70
"assess",69
"larg",69
"equal",68
"least",68
"abbreviat",66
"either",66
"sourc",66
"suggest",66
"creat",65
"small",65
"publish",64
"remain",63
"other",61
"identif",60
