"","x"
"phylogenetic",4588
"tree",4328
"sequences",3591
"bootstrap",1996
"analysis",1746
"species",1733
"values",1715
"based",1480
"sequence",1422
"gene",1326
"phylogeny",1305
"numbers",1262
"branches",1150
"genes",1062
"used",1020
"nodes",1005
"number",1004
"maximum",990
"red",969
"trees",960
"amino",941
"support",937
"branch",931
"strains",861
"acid",847
"likelihood",836
"bayesian",827
"blue",782
"represent",751
"protein",724
"proteins",717
"figure",706
"green",694
"scale",694
"alignment",692
"method",688
"posterior",678
"constructed",676
"accession",661
"different",651
"black",641
"neighborjoining",611
"relationships",611
"two",611
"clade",605
"indicates",603
"per",576
"nucleotide",575
"data",562
"study",556
"bar",555
"replicates",541
"respectively",535
"model",522
"inferred",517
"clades",504
"genbank",495
"isolates",494
"taxa",494
"represents",486
"evolutionary",483
"substitutions",482
"table",476
"site",473
"obtained",457
"genome",445
"node",439
"group",438
"three",438
"probabilities",432
"outgroup",431
"given",415
"right",415
"see",415
"within",415
"region",414
"analyses",410
"domain",406
"mega",406
"family",397
"reference",386
"position",383
"among",381
"samples",377
"consensus",372
"positions",370
"corresponding",369
"identified",368
"one",368
"names",355
"groups",350
"lines",349
"human",345
"included",338
"circles",333
"virus",329
"showing",325
"bold",320
"type",320
"cluster",319
"generated",317
"strain",317
"distribution",313
"rrna",312
"distance",311
"rooted",308
"left",304
"according",300
"phylogram",300
"conserved",299
"length",299
"shows",299
"lengths",298
"represented",295
"aligned",294
"major",290
"lineages",289
"topology",288
"marked",286
"relationship",286
"regions",284
"methods",276
"colored",275
"genomes",270
"complete",269
"representative",267
"four",266
"also",265
"probability",265
"highlighted",264
"domains",262
"color",261
"parsimony",260
"substitution",259
"including",252
"present",252
"found",251
"for",249
"grey",249
"unrooted",248
"lineage",246
"bars",244
"show",239
"panel",238
"viruses",238
"percentage",237
"all",234
"distances",233
"related",229
"sample",229
"clusters",227
"hiv",227
"relative",227
"described",226
"subtype",225
"estimated",223
"correspond",219
"divergence",218
"residues",218
"dna",217
"origin",217
"structure",217
"labeled",216
"total",216
"value",216
"boxes",215
"yellow",215
"sites",214
"name",213
"bacterial",208
"concatenated",208
"haplotypes",207
"multiple",207
"predicted",205
"arabidopsis",204
"phylogenies",204
"evolution",203
"dataset",202
"gray",199
"ancestral",196
"software",196
"members",195
"results",195
"single",195
"size",195
"derived",193
"molecular",193
"colors",192
"database",192
"drawn",191
"putative",191
"available",189
"fig",187
"performed",187
"text",186
"circle",185
"orange",185
"genetic",183
"associated",178
"isolated",178
"maximumlikelihood",178
"sapiens",178
"partial",176
"arrows",174
"first",172
"calculated",171
"time",171
"white",171
"bottom",170
"mitochondrial",170
"presented",168
"set",168
"comparison",166
"identical",166
"following",165
"genus",165
"line",165
"ncbi",165
"taxon",165
"test",165
"program",164
"expression",161
"haplotype",161
"note",161
"selected",161
"similar",161
"this",161
"along",160
"determined",160
"clustered",159
"known",159
"clones",158
"analyzed",157
"inference",157
"reconstruction",157
"containing",155
"neighbourjoining",155
"schematic",155
"next",154
"greater",152
"sequenced",151
"drosophila",149
"families",148
"listed",148
"network",148
"percentages",148
"light",147
"dots",146
"common",144
"dark",144
"individual",143
"abbreviations",142
"information",142
"mtdna",142
"only",142
"box",141
"clustering",141
"displayed",141
"rdna",140
"characters",139
"plant",139
"specific",138
"each",137
"types",137
"units",137
"collapsed",136
"genomic",136
"level",136
"similarity",136
"alignments",135
"events",135
"full",135
"joining",135
"order",135
"bacteria",134
"can",134
"matrix",134
"mouse",134
"detected",132
"shaded",132
"supported",132
"brackets",131
"five",130
"host",130
"presence",130
"top",130
"well",130
"distinct",129
"follows",129
"asterisk",127
"homo",127
"together",127
"denote",126
"melanogaster",126
"reported",126
"acids",125
"coding",125
"details",125
"followed",125
"internal",125
"otus",125
"phyml",125
"replications",124
"main",123
"diversity",122
"mutations",122
"asterisks",121
"less",121
"reconstructed",121
"map",119
"previously",119
"code",118
"compared",118
"representing",118
"class",117
"purple",116
"respective",116
"significant",116
"identity",115
"coi",114
"geographic",114
"homologs",112
"changes",111
"depicted",111
"history",111
"proportional",111
"refer",110
"triangles",110
"across",109
"clustalw",109
"genera",109
"higher",109
"labels",109
"base",108
"parentheses",108
"symbols",108
"combined",107
"variants",107
"its",106
"root",106
"differences",105
"version",105
"letters",104
"lower",104
"new",104
"pink",104
"population",104
"duplication",103
"fungal",103
"rna",103
"taxonomic",103
"recovered",102
"ancestor",101
"six",101
"corresponds",100
"mean",100
"squares",100
"control",99
"dashed",99
"defined",99
"filled",99
"dendrogram",98
"iii",98
"individuals",98
"terminal",98
"thaliana",98
"core",97
"neighbor",97
"provided",97
"high",96
"nuclear",96
"patterns",96
"populations",96
"vertebrate",96
"algorithm",95
"legend",95
"mrbayes",95
"outgroups",95
"solid",95
"computed",94
"loci",94
"indicating",93
"influenza",93
"morphological",93
"nucleotides",93
"times",93
"fulllength",92
"gaps",92
"deduced",91
"open",91
"orthologs",91
"subfamily",91
"except",90
"form",90
"rates",90
"several",90
"clarity",89
"whereas",89
"closely",88
"clustal",88
"coli",88
"musculus",88
"points",88
"belonging",87
"raxml",87
"representation",87
"vertical",87
"location",86
"parameter",86
"sampled",86
"clone",85
"missing",85
"elegans",84
"sampling",84
"pairwise",83
"side",83
"underlined",83
"upper",83
"fungi",82
"coloured",81
"considered",81
"unique",81
"whole",81
"arrow",80
"colours",80
"conducted",80
"isolate",80
"various",80
"branching",79
"includes",79
"mus",79
"north",79
"statistical",79
"seven",78
"proportion",77
"confidence",76
"detailed",76
"majority",76
"second",76
"shared",76
"without",76
"highly",75
"strict",75
"codes",74
"final",74
"involved",74
"point",74
"topologies",74
"organisms",73
"assigned",72
"brown",72
"near",72
"proposed",72
"best",71
"monophyletic",71
"part",71
"produced",71
"recent",71
"these",71
"absence",70
"include",70
"mapped",70
"percent",70
"there",70
"denoted",69
"kimura",69
"parsimonious",69
"retrieved",69
"additional",68
"classification",68
"expected",68
"least",68
"relevant",68
"boxed",67
"either",66
"previous",66
"approximate",65
"replicate",65
"small",65
"published",64
"years",64
"large",62
