"","V1","V2"
"abbreviations",133.010831818233,426
"abd",48.4710725435768,80
"abdomen",239.12986164157,689
"abdominal",229.322104554346,831
"accessory",30.1572013883919,72
"adult",407.676295376377,1012
"adults",101.515577313665,137
"advertisement",52.4484780021255,59
"aedeagal",48.8049999638201,128
"aedeagus",280.030151083855,1052
"aedoeagus",22.2923691016048,58
"africa",58.568921679893,84
"air",53.9984150951402,49
"allotype",58.4509441669748,112
"alpheus",28.7467875626609,79
"amberana",97.0238514913697,61
"amnh",70.1939222104964,79
"among",32.5091691174881,44
"anal",91.9462580182318,278
"analysis",72.3292506576752,78
"angle",17.4306188468865,41
"anic",44.3663529566526,84
"animal",38.5400282856669,61
"ant",55.2125180664759,84
"antenna",274.689149787448,985
"antennae",59.763996223298,111
"antennal",87.5331349472783,263
"antennomeres",52.7735173509196,55
"antennular",16.7669351550418,42
"antennule",90.0950110967744,199
"anterior",396.247451687298,2148
"anteriorly",22.518958971534,42
"anterodorsal",24.3841015138179,64
"anterolateral",35.8700554847766,68
"antiaxial",54.0338549103424,90
"apex",153.744026003488,585
"apical",131.57562671717,466
"apodeme",35.6028867155044,96
"apodemes",15.5435761180523,43
"apophysis",65.8650643628698,187
"apparatus",83.6629022931135,154
"appearance",25.8084565522174,45
"appendage",37.2373287823503,110
"appendages",67.7147703521698,208
"appendix",37.6041075845372,71
"archipelago",52.3293356274318,45
"area",161.299587547433,389
"areas",62.9406365111123,102
"arm",22.2745287399536,50
"armature",35.5206615751179,53
"around",27.7472382185686,37
"arrangement",63.2334459577147,120
"arrow",198.000757059151,613
"article",41.8493285641498,94
"aspect",260.748783178066,775
"aspects",72.4771716048824,81
"atlantic",63.1043993937384,76
"atrium",20.7603702070831,47
"attribution",25.8594002731723,43
"australia",110.075822581773,135
"australis",46.3606679821744,53
"author",32.3207830196835,42
"back",30.5611869212886,73
"bahia",33.9906324596234,50
"bar",519.873906872344,1755
"bars",377.463040400241,1540
"basal",114.067745215678,393
"base",92.8988518260288,200
"basin",49.0519487236401,63
"bay",109.713097443184,142
"bmnh",122.141490429552,213
"bocas",20.6817663259977,41
"body",344.592023991055,1081
"bottom",61.3945639235165,111
"bpbm",57.559345733249,63
"branch",72.5499973559565,131
"branchial",58.9995018543793,65
"brasiliensis",36.2548259045201,52
"brazil",146.997807995793,258
"broad",35.0259823519208,65
"broken",24.5052978517189,47
"buccal",20.1435637151134,40
"bulb",31.6824019852308,64
"bursa",27.8089771711593,41
"california",53.3538683198748,44
"call",75.3468109419773,94
"calling",50.6378343093409,40
"campylaspis",24.1186797884168,37
"capensis",50.3756931012867,50
"capsule",61.1460523735105,174
"carapace",191.541171034798,684
"carina",26.140895868966,68
"carpus",29.7416083625896,81
"cas",60.5737782444803,52
"casent",177.118348661442,314
"caudal",115.009535515662,326
"cave",50.6475776975702,69
"cbm",26.8377843007033,69
"cell",34.9856516553614,65
"cells",24.8619236959897,43
"cenopalpus",43.987349921636,40
"central",63.5654100121539,122
"cephalic",76.3680258498707,236
"cephalothorax",27.2379748528682,53
"cercal",17.3735446824918,44
"cerci",45.8965354342959,111
"cercus",55.565075359016,171
"chaeta",29.4860252558099,61
"chaetae",64.7301607150773,136
"chaetiger",53.4662440354699,137
"chaetotaxy",66.9565950954852,137
"character",162.568248115817,252
"chela",77.4390934727431,247
"chelicera",80.0928729779093,214
"chelicerae",93.9463116317825,229
"cheliceral",20.7589602015099,44
"cheliped",91.6325193103901,237
"chimarra",21.9843425923065,45
"china",135.142446276144,193
"circle",192.629398683631,359
"cirrus",41.3421200407913,93
"claw",69.9490657511881,170
"claws",49.2919838681509,103
"cleared",45.617813650707,145
"cleft",24.968421486561,69
"close",89.7377669877837,206
"closed",39.1479215334557,55
"club",19.5037700668809,40
"clypeus",28.6363192168452,66
"coast",34.5656832234973,38
"collar",30.3395324930822,67
"collected",155.34085574766,218
"collecting",57.5878349961975,62
"collection",120.04466447728,163
"colombia",40.1783081712375,41
"colony",108.841999125212,134
"color",88.5322157132041,138
"coloration",58.3384357905355,88
"colour",72.0863425058874,103
"column",35.3875602022223,64
"comb",118.629467437786,275
"commons",26.2147730531285,45
"comparative",44.6160200435106,41
"comparison",67.4913123432681,85
"complex",252.837022523191,485
"condition",34.7734998534342,38
"conductor",26.4305171535156,83
"conical",21.0131411936943,62
"connective",46.6839476804167,171
"copulatory",80.461762853018,191
"copyright",24.9198328335036,38
"corallium",51.486643602513,49
"correspond",30.0089137191011,41
"corynoneura",36.558972579835,67
"costa",53.9206331007927,57
"county",53.3201497498415,66
"course",21.9346493420738,58
"courtesy",64.0254621343106,54
"coxa",42.2893152524391,98
"coxae",40.2756823150178,62
"creative",28.614597476966,44
"creek",32.5450996319811,50
"cross",44.3853993958227,65
"cru",26.1818227167488,39
"csiro",44.1056701216227,52
"ctenus",20.5270109843444,36
"cymbium",22.5300338793631,65
"cyrtodactylus",54.5067104598852,62
"dactylus",53.2201923709512,142
"dana",41.8514910513736,58
"dark",77.7486025131757,143
"data",73.1492490238818,89
"deep",32.0198840509573,37
"del",40.627707328141,76
"depth",48.6376239775666,44
"described",57.0972743496985,63
"description",95.507462841974,147
"detail",286.979365351357,974
"deutonymph",42.5817793741252,49
"developed",32.0229259769392,47
"diagnosis",57.122422664317,64
"diagnostic",30.0732688244434,54
"disc",50.3763687549779,106
"discussion",89.715070336551,68
"distal",191.888369679453,734
"distance",43.2895438447509,38
"distant",23.295972500189,59
"distribution",771.972708837438,863
